id,title,year,cleaned_token_count,processed_token_count
96,Perancangan dan Implementasi Sistem Monitoring Perangkat Jaringan Berbasis Zabbix Web Server Terintegrasi dengan Bot Notifikasi Telegram,2025,332,200
97,Prediksi Nilai Pasar Pemain Sepak Bola Berdasarkan Atribut Permainan di Game Football Manager 2023 dengan Random Forest pada Lima Liga Terbaik Eropa,2025,355,226
98,Pengembangan dan Perbandingan Performa Website Muncak.Id Berbasis PHP dan Adonis Js Menggunakan McCall,2025,643,328
99,Greedy-Guided Genetic Algorithm untuk Optimasi Data Offloading pada Edge Caching Network,2025,202,120
100,Pengembangan Algoritma Similar Cache Adaptif untuk Menangani Akses Data Anomali pada Edge Networks,2025,460,270
101,Perancangan Sistem Informasi Presensi Mahasiswa Menggunakan Teknologi QR Code dan Geolocation Berbasis Web Pada Universitas Jenderal Soedirman,2025,233,127
102,Implementasi Teknologi Blockchain Pada Sertifikat Tanah Digital Menggunakan Smart Contract Berbasis Website,2025,351,216
103,Sistem Informasi Pelaporan Keamanan dan Audit Sistem Informasi Berbasis Website pada Universitas Jenderal Soedirman,2025,371,206
104,Pengembangan Aplikasi Banjarnegara Mencari Data Tanpa Dolan (Bara-Mendoan) Berbasis Android Menggunakan Architecture Model View Controller (MVC),2025,243,150
105,Penerapan Data Mining Algoritma Decision Tree C4.5 untuk Mengklasifikasikan Tingkat Kemiskinan di Kecamatan Paguyangan,2025,293,161
106,Pengembangan Sistem Informasi Pencatatan Iuran PPKU (Paguyuban Punakarya Unsoed) Menggunakan Framework YII2 Berbasis Website,2025,236,134
107,Rancangan Bangun Sistem Informasi Kasir dan Pengelolaan Stok Barang Berbasis Website Untuk Efisiensi Operasional Toko Kelontong,2025,251,163
108,Implementasi Text Mining pada Lirik Lagu Untuk Klasifikasi Lagu Berdasarkan Emosi Menggunakan Logistic Regression Berbasis Website,2025,380,210
109,Pengembangan dan Evaluasi Aplikasi Game Edukasi 3D Berbasis Android untuk Memperkenalkan Peralatan Pendakian yang Diperlukan (Studi Kasus pada Pengalaman Pengguna dan Efektivitas Pembelajaran),2024,324,194
110,Sistem Informasi Audit Mutu Akademik Internal Berbasis Website di Lembaga Pengembangan Pembelajaran dan Penjaminan Mutu (LP3M) Universitas Jenderal Soedirman,2024,317,179
111,"Peningkatan Keamanan Dokumen Legalisir Ijazah Dengan Pengujian Keaslian Menggunakan Fingerprint, Steganography, Teknologi OCR, Dan QR CODE",2024,311,185
112,Implementasi Market Basket Analysis Menggunakan Algoritma Frequent Pattern Growth (FP-Growth) Berbasis Website pada Data Penjualan CV Indo Java Land,2024,317,172
113,Sistem Informasi Inventarisasi Barang Milik Negara (BMN) pada Universitas Jenderal Soedirman Berbasis Website Menggunakan Metode Agile Development,2024,346,208
114,Aplikasi Android Identifikasi Penyakit Buah Kakao Menggunakan Algoritma Convolutional Neural Network (CNN) Inception Resnet Dengan Rest API,2024,578,348
115,Sistem Informasi Eksekutif Menggunakan Penerapan Data Warehouse Pada Data Tracer Study Alumni Universitas Jenderal Soedirman,2024,580,350
116,Implementasi Klasifikasi Sinyal Otak Electroencephalogram (EEG) untuk Deteksi Pecandu Pornografi Menggunakan Pendekatan Metode Deep Learning Long Short-Term Memory (LSTM) Berbasis Web,2024,532,298
117,Perancangan UI/UX dan Implementasi Front-End Unsoed Super App Menggunakan Metode User-Centered-Design,2024,326,193
118,Pengembangan Sistem Informasi Geografis dan Manajemen Mutu Air Sungai dan Danau Dinas Lingkungan Hidup Kabupaten Banyumas Berbasis Website,2024,191,109
119,Analisis Keamanan pada Sistem Informasi Pondok Pesantren Ihsanul Fikri Mengunakan Metode Penetration Testing Execution Standard,2024,431,261
120,Sistem Pemantauan dan Dokumentasi Peminjaman Mobil Menggunakan GPS Berbasis Aplikasi Mobile dan Website (Studi Kasus di Pondok Pesantren Kampung Maghfirah Bogor),2024,527,306
121,Game Edukasi Berbasis Android “Math Runner” Menggunakan Unity untuk Melatih Kemampuan Matematika Siswa dan Ketangkasan Berpikir Serta Evaluasi Pembelajaran Untuk Tingkat Sekolah Dasar,2024,254,134
122,Implementasi Algoritma Genetika dalam Penentuan Rute Objek Wisata di Kabupaten Wonosobo dengan Pendekatan Solusi Traveling Salesman Problem,2024,327,198
123,Sistem Pakar Rekomendasi Resep Makanan Berdasarkan Jumlah Bahan Makanan Yang Tersedia Berbasis Web Menggunakan Metode Forward Chaining,2024,216,125
124,Analisis Sentimen terhadap Penggunaan Video Assistant Referee dalam Sepak Bola di X Menggunakan Algoritma Naïve Bayes,2024,278,133
125,Penetration Testing Aplikasi Web Dengan Open Web Application Security Project (OWASP) Pada Website Dinas Kominfo Banyumas Melalui Kali Linux,2024,391,253
126,"Sistem Rekomendasi Skincare Berbasis Website dengan Metode Lexicon-based Sentiment Analysis, Decision Tree Regression, dan Support Vector Machine",2024,311,195
127,Implementasi Prototipe Aplikasi Pelaporan Layanan Sarana Kampus Universitas Jenderal Soedirman dengan Fitur Versioning dan Push Notification Menggunakan Framework Flutter,2024,436,257
128,Analisis Performa Rest Api Golang Gin dan Node Js Express untuk Skema Database Sql/Nosql pada Platform Shortener,2024,480,275
129,Pengembangan Sistem Informasi Geografis (SIG) Pengelolaan Kos Mahasiswa Universitas Jenderal Soedirman,2024,324,183
130,Sistem Informasi Geografis Penilaian Risiko Gempa Bumi Menggunakan Algoritma K-Means dan MEVN Stack Studi Kasus Wilayah Indonesia,2024,410,236
131,Perancangan Desain UI/UX Aplikasi Mobile UNSOED Super Apps dengan Metode Design Thinking,2024,260,143
132,Rancang Bangun Role Playing Game untuk Asesmen Awal Pembelajaran Mata Pelajaran Informatika Fase D,2024,244,131
133,Implementasi Laravel Full Stack Development dalam Pengembangan Sistem Kerja Sama LPPM Unsoed,2024,381,201
134,Implementasi Metode Autoregressive Integrated Moving Average (ARIMA) untuk Prediksi Harga Saham PT XL Axiata Tbk dengan Visualisasi Dashboard Berbasis Website,2024,249,130
135,Analisis Korelasi Sentimen Hasil Pemilu 2024 dan Pergerakan Saham Pelaku Politik di Indonesia,2024,398,216
136,Sistem Deteksi Pelanggaran Pengguna Sepeda Motor Tanpa Helm Menggunakan Metode CNN Arsitektur Yolo Berbasis Sistem Tertanam,2024,312,147
137,Implementasi Vision Transformer dalam Klasifikasi Warna Kulit Wajah dengan Graphical User Interface Berbasis Website,2024,391,198
138,"Penerapan Continuous Integration, Continuous Integration, Continuous Delivery, dan Continuous Deployment (CI/CD) dalam Pengembangan Website Blog Statis pada Google Cloud Platform",2024,119,66
139,Implementasi Sistem Informasi Pengelolaan Aset di Laboratorium Jurusan Informatika UNSOED,2024,274,139
140,Penerapan Fuzzy C-Means untuk Klasterisasi UMKM di Kabupaten Kebumen,2024,237,123
141,Evaluasi Sistem Akuntabilitas Kinerja Intansi Pemerintah Berbasis Fuzzy Inference System Di Pemerintah Kabupaten Majalengka,2024,282,156
142,Implementasi Metode Knowledge Based Recommendation untuk Sistem Rekomendasi Pemilihan Warna pada Desain Interior Berbasis Website,2024,323,207
143,Pengembangan Sistem Cerdas Deteksi Personal Protective Equipment (Ppe) Pada Pekerja Lapangan Dan Laboratorium Menggunakan Metode Deep Learning Yolo-Nas Berbasis Web,2024,533,284
144,Penerapan Interpretasi Gestur Sistem Isyarat Bahasa Indonesia secara Real-Time pada Panggilan Video menggunakan Single Shot Multibox Detector Arsitektur MobileNet V3 berbasis Desktop,2024,425,249
145,Analisis Performa Metode Triple Deep Convolutional Neural Network (TDCNN) dan Metode Convolutional Neural Network (CNN),2024,469,261
146,Pengembangan Model Deteksi Bahasa Isyarat secara Real-Time Dengan Algoritma You Only Look Once Version 8 (YOLOV8),2024,483,277
147,Implementasi Metode Forward Chaining dan Certainty Factor pada Sistem Pakar Berbasis Bot Telegram untuk Identifikasi HIV/AIDS,2024,306,169
148,Optimasi Administrasi Melalui Sistem Informasi Administrasi Kependudukan dengan Statistika Deskriptif Data Administrasi di Desa Penggarutan,2024,344,197
149,Implementasi Movie Recommender System dengan Penggabungan Metode Content Filtering dan Collaborative Filtering menggunakan Teknik Hybrid Weighting Berbasis Website,2024,444,228
150,Evaluasi dan Perbaikan Desain User Interface dan User Experience Website Laboratorium Informatika Fakultas Teknik Unsoed dengan Metode User Centered Design dan System Usability Scale,2024,431,247
151,Penerapan Design Thinking Dalam Merancang Tampilan Pengguna Pada Aplikasi Tes Bahasa Indonesia Berbasis Mobile,2024,222,146
152,Sistem Informasi Pendataan Penilaian Kinerja Karyawan Berbasis Website,2024,324,164
